States,Number of hospitals in public sector,Number of hospitals in private sector,Total
Lakshadweep,9,4,13
Chandigarh,9,4,13
Dadra & N Haveli,12,6,18
Puducherry,14,6,20
Daman & Diu,5,21,26
Andaman Nicobar Islands,30,6,36
Manipur,30,8,38
Sikkim,33,8,41
Nagaland,36,13,49
Goa,43,22,65
Mizoram,90,23,113
Jammu & Kashmir,143,14,157
Tripura,156,8,164
Delhi,109,67,176
Meghalaya,157,28,185
Arunachal Pradesh,218,20,238
Chhattisgarh,214,182,396
Andhra Pradesh,258,670,928
Madhya Pradesh,465,506,971
Himachal Pradesh,801,235,1036
Uttarakhand,460,829,1289
Jharkhand,555,809,1364
Gujarat,438,970,1408
Assam,1226,503,1729
Haryana,668,1480,2148
West Bengal,1566,697,2263
Punjab,682,1638,2320
Tamil Nadu,1217,1222,2439
Odisha,1806,695,2501
Bihar,1147,1887,3034
Maharashtra,711,2492,3203
Kerala,1280,2062,3342
Telangana,863,3247,4110
Rajasthan,2850,2794,5644
Karnataka,2842,7842,10684
Uttar Pradesh,4635,12468,17103
Ladakh,0,0,0
